clip_id,hand_side,n_frames,angle_diff_deg,svd_f0_mm,wq_f0_mm,delta_f0_mm,svd_avg10_mm,wq_avg10_mm,delta_avg10_mm
hocap__subject_1__20231025_165502__seg00,left,166,9.2,33.8,34.7,0.9,20.0,19.6,-0.4
hocap__subject_1__20231025_165502__seg01,left,184,14.7,38.0,39.5,1.4,20.4,20.2,-0.2
hocap__subject_1__20231025_165502__seg02,left,210,49.1,22.6,43.0,20.4,15.2,17.8,2.6
hocap__subject_1__20231025_165502__seg03,left,183,8.9,39.7,39.2,-0.5,20.5,20.2,-0.3
hocap__subject_1__20231025_165807__seg00,left,158,13.0,36.2,36.3,0.1,20.3,19.4,-0.8
hocap__subject_1__20231025_165807__seg01,left,205,13.6,40.8,42.2,1.4,20.4,20.4,0.1
hocap__subject_1__20231025_165807__seg02,left,209,17.4,29.7,32.1,2.3,18.1,18.3,0.2
hocap__subject_1__20231025_165807__seg03,left,213,14.3,35.0,36.0,0.9,18.8,18.8,0.0
hocap__subject_1__20231025_170105__seg00,right,182,14.4,29.3,58.4,29.1,17.2,34.9,17.8
hocap__subject_1__20231025_170105__seg01,right,238,23.1,29.8,61.1,31.3,17.3,38.4,21.1
hocap__subject_1__20231025_170105__seg02,right,229,23.6,36.0,74.5,38.5,18.7,54.5,35.8
hocap__subject_1__20231025_170105__seg03,right,211,19.6,29.2,61.0,31.8,17.8,42.6,24.9
hocap__subject_1__20231025_170231__seg00,right,247,21.2,30.3,62.2,31.9,18.9,33.2,14.3
hocap__subject_1__20231025_170231__seg01,right,316,20.7,27.7,58.4,30.7,16.9,35.1,18.2
hocap__subject_1__20231025_170231__seg02,right,331,15.9,29.0,57.4,28.4,16.5,35.1,18.6
hocap__subject_1__20231025_170231__seg03,right,242,24.9,32.9,67.5,34.6,18.1,40.3,22.1
hocap__subject_1__20231025_170650__seg00,right,172,17.7,32.2,65.2,33.0,18.3,42.3,24.0
hocap__subject_1__20231025_170650__seg01,right,190,9.4,37.1,72.9,35.8,20.5,57.8,37.3
hocap__subject_1__20231025_170650__seg02,right,193,10.5,31.3,62.7,31.5,18.3,40.8,22.6
hocap__subject_1__20231025_170650__seg03,right,170,21.8,30.1,67.6,37.5,16.9,31.8,14.9
hocap__subject_1__20231025_170959__seg00,right,210,7.8,32.1,60.4,28.3,18.3,42.0,23.7
hocap__subject_1__20231025_170959__seg01,right,254,22.9,30.5,68.1,37.6,20.2,40.9,20.7
hocap__subject_1__20231025_170959__seg02,right,227,36.3,17.3,55.9,38.6,15.6,26.9,11.3
hocap__subject_1__20231025_170959__seg03,right,143,3.7,30.0,59.3,29.3,17.2,41.2,24.0
hocap__subject_1__20231025_170959__seg04,right,128,4.3,33.6,41.9,8.3,19.5,26.4,6.9
