clip_id,hand_side,n_frames,mean_tip_mm,max_pen_mm,mean_pen_mm,jerk
hocap__subject_1__20231025_165502__seg00,left,166,10.931882638988206,44.23833988789389,21.543106987959042,0.3276503103897222
hocap__subject_1__20231025_165502__seg01,left,184,12.808811316818437,10.208605054009174,2.711173480414345,0.34649677469225526
hocap__subject_1__20231025_165502__seg02,left,210,12.363014976034009,27.830018088907206,8.824057597104925,0.4363381272111594
hocap__subject_1__20231025_165502__seg03,left,183,12.80297349261906,18.912961222395353,7.607402271692164,0.3533332915669654
hocap__subject_1__20231025_165807__seg00,left,158,12.782066022769706,23.86452484111367,10.671759138820379,0.30468464605598583
hocap__subject_1__20231025_165807__seg01,left,205,9.648177324341429,15.206508729577,5.1964477854514515,0.339670162984718
hocap__subject_1__20231025_165807__seg02,left,209,12.377197181039461,27.565838952479563,12.226364880377954,0.47713306048256177
hocap__subject_1__20231025_165807__seg03,left,213,12.363736419231197,24.342836353511927,10.97626157711407,0.475888546572618
hocap__subject_1__20231025_170105__seg00,right,182,12.347095828866385,12.927965465652617,5.9221980542768105,0.3861246438352247
hocap__subject_1__20231025_170105__seg01,right,238,15.03550251775495,11.517371219815706,2.8710050757682857,0.3821093472465379
hocap__subject_1__20231025_170105__seg02,right,229,17.023224066133796,26.933438772932597,8.547578092372426,0.4997407338305282
hocap__subject_1__20231025_170105__seg03,right,211,16.388141483885708,23.64143760340143,9.501191828309244,0.4913656946639964
hocap__subject_1__20231025_170231__seg00,right,247,11.77815468824845,21.30011524315703,8.795498676119264,0.6129493037411815
hocap__subject_1__20231025_170231__seg01,right,316,11.917113265995688,23.99086459360332,7.233473824168443,0.7471432272995988
hocap__subject_1__20231025_170231__seg02,right,331,14.124870786576599,38.80560933824812,18.65781241878649,1.6383480353213629
hocap__subject_1__20231025_170231__seg03,right,242,15.47321676183403,14.190986656914058,2.7216396227427953,1.6018760308258826
hocap__subject_1__20231025_170650__seg00,right,172,14.560729851922208,41.19174348862356,20.896409972707662,0.4209566897965879
hocap__subject_1__20231025_170650__seg01,right,190,20.433361363955697,5.696737076145621,1.4767585475880918,0.36221365501471936
hocap__subject_1__20231025_170650__seg02,right,193,15.325933071147267,15.482167499864492,4.72128302323039,0.4243714056466442
hocap__subject_1__20231025_170650__seg03,right,170,12.652692680924176,13.328362852892742,5.956466031529943,0.34101427193028255
hocap__subject_1__20231025_170959__seg00,right,210,16.987277102437307,23.49246150667777,12.982132390342048,0.49179381556589186
hocap__subject_1__20231025_170959__seg01,right,254,13.43312289139486,18.22655504217635,6.909159619371195,0.46984541896526166
hocap__subject_1__20231025_170959__seg02,right,227,16.715045962135953,0.0,0.0,0.47558752173663665
hocap__subject_1__20231025_170959__seg03,right,143,16.3118828453877,4.637573872245313,0.0686768927424955,0.36938922041941624
hocap__subject_1__20231025_170959__seg04,right,128,12.180185180182166,0.0,0.0,0.25862605526347837
hocap__subject_1__20231025_171117__seg00,left,231,17.591992849668245,26.43157414528892,11.673054766581766,0.6562745168403598
hocap__subject_1__20231025_171117__seg01,left,265,18.865778959214342,22.876742783303634,7.233670315507566,1.1729030386847061
hocap__subject_1__20231025_171117__seg02,left,285,11.472683596609745,15.308757136631563,2.0384971387604325,0.8432295553707461
hocap__subject_1__20231025_171117__seg03,left,265,9.58376823208372,20.628942694283737,3.1281354010588083,0.6845138009396454
hocap__subject_2__20231022_200657__seg00,left,219,11.419021457702454,19.618590717462315,4.5210557666403135,0.36301820991708195
hocap__subject_2__20231022_200657__seg00,right,219,11.192786549056986,0.0,0.0,0.21621142554259948
hocap__subject_2__20231022_200657__seg01,left,351,12.971637003817985,20.920410825662323,3.989698367956397,0.3577223713123158
hocap__subject_2__20231022_200657__seg01,right,351,13.527246395463745,24.564066156373258,2.4703070185864355,0.495462281782381
hocap__subject_2__20231022_200657__seg02,left,549,14.927980376856683,5.115776073677729,0.09015840457281385,0.569547788317774
hocap__subject_2__20231022_200657__seg02,right,549,12.086815324484785,25.33111065401803,1.068886383973068,0.6473729995814017
hocap__subject_2__20231022_201316__seg00,right,190,13.844986474157649,20.13550916651002,6.714498980349091,0.37577471035795107
hocap__subject_2__20231022_201316__seg01,right,229,14.232637859157492,23.143114629326227,6.342894958679976,0.3880081901267285
hocap__subject_2__20231022_201316__seg02,right,189,13.132279267092294,14.388217153976303,0.7507866921994408,0.3113970459340853
hocap__subject_2__20231022_201316__seg03,right,194,13.91636555690397,12.563531750515795,4.4786050400566255,0.3187649470157883
hocap__subject_2__20231022_201449__seg00,left,306,15.239425327078672,25.989308852436256,4.938232242706549,0.37193033105241596
hocap__subject_2__20231022_201449__seg00,right,306,13.651154335232432,23.32183278299395,7.520554904992152,0.4118749873436555
hocap__subject_2__20231022_201449__seg01,left,663,14.249883391511961,8.868112485011,0.5452289344960568,0.7462996317751516
hocap__subject_2__20231022_201449__seg01,right,663,14.160078218131424,10.41866768169094,1.1573187966364946,0.7660782358213016
hocap__subject_2__20231022_201556__seg00,right,285,11.97051109252595,31.599089889751305,14.89034548464208,0.37101446083854395
hocap__subject_2__20231022_201556__seg01,right,138,13.740414589737503,23.22956040145875,7.675958112604331,0.23129346326436534
hocap__subject_2__20231022_201556__seg02,right,383,19.299612780474796,35.06862320812067,19.420066256438975,0.5192839205703514
hocap__subject_2__20231022_201942__seg00,left,429,13.193993534294428,30.07738415704216,11.945005385502402,0.6143691328593756
hocap__subject_2__20231022_201942__seg01,left,493,17.15757967819607,20.15434634032958,1.921924685754212,0.729121156233411
hocap__subject_2__20231022_201942__seg02,left,244,12.983721212414324,33.10855372171879,8.825677366361061,0.2895115889307081
hocap__subject_2__20231022_202115__seg00,left,211,16.29930494930759,13.76633164138042,0.4352916656409033,0.24738235322941962
hocap__subject_2__20231022_202115__seg00,right,211,11.016545448756332,0.0,0.0,0.2900989075358216
hocap__subject_2__20231022_202115__seg01,left,292,15.300839078462607,21.69501994452601,4.602916611776068,0.4104223317064951
hocap__subject_2__20231022_202115__seg01,right,292,14.89726114221036,14.83237952420063,4.332953070100547,0.37664031449950497
hocap__subject_2__20231022_202115__seg02,left,368,16.20812893053867,0.0,0.0,0.25171210226148455
hocap__subject_2__20231022_202115__seg02,right,368,28.44926569765319,18.158894267835315,1.2598132845840746,0.5943171206307909
hocap__subject_2__20231022_202115__seg04,left,300,16.267064931900943,0.0,0.0,0.34510252713804324
hocap__subject_2__20231022_202115__seg04,right,300,18.614888775084694,0.0,0.0,0.37773580231749937
hocap__subject_2__20231022_202617__seg00,right,231,11.92287794762897,28.150239499282957,17.33314807113929,0.32024406647668147
hocap__subject_2__20231022_202617__seg01,right,228,13.36697956028969,21.837044773884532,6.556593438258784,0.35228792579702056
hocap__subject_2__20231022_202617__seg02,right,423,15.029179570659062,22.33166126700996,4.607542052408164,0.5469464853177521
hocap__subject_2__20231022_202617__seg03,right,247,12.277159441073858,17.497208877533765,6.912562449260716,0.358682514146973
