clip_id,hand_side,object,n_frames,pct_any_tip_inside,pct_3plus_tips_inside,max_tip_depth_mm,mean_tip_depth_when_inside_mm,longest_tip_penetration_streak,pct_any_lm_inside,max_lm_depth_mm,mean_n_lm_inside
hocap__subject_1__20231025_165502__seg00,left,g18_1,166,68.07228915662651,58.43373493975904,29.866377578637174,12.975102830667177,111,68.07228915662651,34.23797793790339,5.433628318584071
hocap__subject_1__20231025_165502__seg01,left,g18_2,184,41.84782608695652,17.391304347826086,9.86777784887425,3.7787360147880813,77,41.84782608695652,9.86777784887425,2.3896103896103895
hocap__subject_1__20231025_165502__seg02,left,g18_4,210,45.23809523809524,35.23809523809524,28.126245075604967,11.721826290608673,95,45.23809523809524,28.126245075604967,4.978947368421053
hocap__subject_1__20231025_165502__seg03,left,g18_3,183,51.36612021857923,43.169398907103826,16.9494916561516,7.1704403506822985,94,51.36612021857923,19.56676441544957,8.5
hocap__subject_1__20231025_165807__seg00,left,g15_2,158,60.12658227848101,52.53164556962025,27.925079139387293,10.479969398478772,95,60.12658227848101,27.925079139387293,4.063157894736842
hocap__subject_1__20231025_165807__seg01,left,g15_4,205,51.21951219512195,0.0,11.213869400670523,7.019042191371219,105,51.21951219512195,11.213869400670523,1.5238095238095237
hocap__subject_1__20231025_165807__seg02,left,g15_1,209,60.28708133971292,0.0,25.557540911283706,16.079025003921437,126,60.28708133971292,25.557540911283706,1.3571428571428572
hocap__subject_1__20231025_165807__seg03,left,g15_3,213,59.624413145539904,47.417840375586856,22.927010190202044,10.190499447886912,127,59.624413145539904,22.927010190202044,4.322834645669292
hocap__subject_1__20231025_170105__seg00,right,g10_2,182,61.53846153846154,21.428571428571427,12.32268178757036,5.766026313786284,112,61.53846153846154,12.32268178757036,2.6160714285714284
hocap__subject_1__20231025_170105__seg01,right,g10_3,238,5.88235294117647,0.0,3.7958285280782857,0.9594293865438844,5,19.327731092436977,3.7958285280782857,1.108695652173913
hocap__subject_1__20231025_170105__seg02,right,g10_4,229,53.7117903930131,36.24454148471616,25.282980228301,8.813308511129623,123,53.7117903930131,25.282980228301,4.7317073170731705
hocap__subject_1__20231025_170105__seg03,right,g10_1,211,63.03317535545023,40.758293838862556,19.426259131895037,7.628088799401005,133,63.03317535545023,19.426259131895037,5.015037593984962
hocap__subject_1__20231025_170231__seg00,right,g10_4,247,78.13765182186235,25.910931174089068,21.021103260975593,7.982390430545785,165,78.94736842105263,22.50426754354794,4.943589743589744
hocap__subject_1__20231025_170231__seg01,right,g10_2,316,70.25316455696202,44.303797468354425,20.87958613145419,7.1222635541028465,169,72.15189873417721,20.87958613145419,4.517543859649122
hocap__subject_1__20231025_170231__seg02,right,g10_1,331,73.41389728096676,69.78851963746223,37.08227845504713,15.241564139519886,238,74.01812688821752,37.08227845504713,8.440816326530612
hocap__subject_1__20231025_170231__seg03,right,g10_3,242,50.413223140495866,0.0,11.553463967296988,4.557300342636062,83,62.396694214876035,11.84850955612798,1.5629139072847682
hocap__subject_1__20231025_170650__seg00,right,g04_2,172,65.11627906976744,48.25581395348838,33.84224197146113,13.235585501306124,111,65.11627906976744,33.84224197146113,4.678571428571429
hocap__subject_1__20231025_170650__seg01,right,g04_3,190,46.8421052631579,0.0,10.48989092234862,4.333114107703994,54,46.8421052631579,10.48989092234862,1.0
hocap__subject_1__20231025_170650__seg02,right,g04_1,193,49.22279792746114,8.808290155440414,10.747060607065487,2.6544632369092236,95,49.22279792746114,10.747060607065487,1.936842105263158
hocap__subject_1__20231025_170650__seg03,right,g04_4,170,70.0,0.0,12.322849165159841,5.813648526939891,117,70.0,12.322849165159841,2.8907563025210083
hocap__subject_1__20231025_170959__seg00,right,g19_1,210,65.23809523809524,0.0,20.84686266005244,11.537852129488545,137,65.23809523809524,22.733532390243536,5.372262773722627
hocap__subject_1__20231025_170959__seg01,right,g19_2,254,61.023622047244096,56.2992125984252,10.658401499484839,6.499855591169375,155,61.023622047244096,10.658401499484839,3.574193548387097
hocap__subject_1__20231025_170959__seg02,right,g19_2,227,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_1__20231025_170959__seg03,right,g19_4,143,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_1__20231025_170959__seg04,right,g19_2,128,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_1__20231025_171117__seg00,left,g19_1,231,71.86147186147186,46.75324675324675,22.40697717579917,11.047430552515735,147,74.89177489177489,22.40697717579917,6.323699421965318
hocap__subject_1__20231025_171117__seg01,left,g19_3,265,69.81132075471697,35.094339622641506,18.912600570931513,6.519814968387522,107,71.69811320754717,19.451373229485416,5.052631578947368
hocap__subject_1__20231025_171117__seg02,left,g19_2,285,19.649122807017545,9.824561403508772,10.387615274600028,5.031475395923612,36,20.701754385964914,10.387615274600028,2.9152542372881354
hocap__subject_1__20231025_171117__seg03,left,g19_4,265,27.547169811320753,0.0,12.224660834847809,7.311878659274222,30,43.0188679245283,12.224660834847809,1.6578947368421053
hocap__subject_2__20231022_200657__seg00,left,g07_4,219,42.922374429223744,0.91324200913242,15.649761242112893,6.68503723553071,62,42.922374429223744,15.649761242112893,1.351063829787234
hocap__subject_2__20231022_200657__seg00,right,g07_4,219,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_2__20231022_200657__seg01,left,g07_3,351,27.635327635327634,0.0,22.62755323247719,9.422404624098773,97,27.635327635327634,24.105357405463476,2.195876288659794
hocap__subject_2__20231022_200657__seg01,right,g07_3,351,22.22222222222222,15.0997150997151,22.282891523360046,10.100342744688993,78,22.22222222222222,22.282891523360046,4.230769230769231
hocap__subject_2__20231022_200657__seg02,left,g07_1,549,2.73224043715847,0.0,8.284186688937238,3.841024393655199,15,2.73224043715847,8.284186688937238,1.6
hocap__subject_2__20231022_200657__seg02,right,g07_1,549,9.107468123861565,0.0,22.253049275785703,6.836082101425711,41,9.107468123861565,22.253049275785703,1.66
hocap__subject_2__20231022_201316__seg00,right,g05_4,190,57.89473684210527,0.0,13.648810002957477,6.525947982050434,45,57.89473684210527,13.648810002957477,1.481818181818182
hocap__subject_2__20231022_201316__seg01,right,g05_1,229,38.864628820960704,31.004366812227076,24.483842937835743,9.87619861053746,89,38.864628820960704,24.483842937835743,4.775280898876405
hocap__subject_2__20231022_201316__seg02,right,g05_3,189,6.349206349206349,0.0,13.219524679729506,5.02039213649732,11,6.349206349206349,13.219524679729506,1.25
hocap__subject_2__20231022_201316__seg03,right,g05_2,194,50.51546391752577,0.0,13.187064226361176,6.398490640460709,81,50.51546391752577,13.187064226361176,1.7448979591836735
hocap__subject_2__20231022_201449__seg00,left,g05_1,306,37.58169934640523,22.54901960784314,24.35808122149334,10.74402331848433,115,37.58169934640523,24.35808122149334,3.0782608695652174
hocap__subject_2__20231022_201449__seg00,right,g05_1,306,42.810457516339866,33.98692810457516,24.72674260779735,9.701843966200965,131,42.810457516339866,24.72674260779735,3.595419847328244
hocap__subject_2__20231022_201449__seg01,left,g05_2,663,13.273001508295627,0.0,12.349141567964134,6.0552624565006905,82,13.273001508295627,12.349141567964134,1.3295454545454546
hocap__subject_2__20231022_201449__seg01,right,g05_2,663,16.289592760180994,0.4524886877828055,7.549568581201776,3.684812927924005,104,16.289592760180994,7.549568581201776,1.4722222222222223
hocap__subject_2__20231022_201556__seg00,right,g05_2,285,88.42105263157895,45.614035087719294,26.293654354498738,9.50693430874233,248,88.42105263157895,26.293654354498738,4.123015873015873
hocap__subject_2__20231022_201556__seg01,right,g05_1,138,51.449275362318836,16.666666666666664,21.563055787840767,8.262244995428075,46,55.072463768115945,21.563055787840767,3.1447368421052633
hocap__subject_2__20231022_201556__seg02,right,g05_1,383,75.71801566579634,72.32375979112271,25.635425586770932,11.543826889586772,290,77.02349869451697,25.635425586770932,6.610169491525424
hocap__subject_2__20231022_201942__seg00,left,g06_3,429,67.13286713286713,11.421911421911423,25.383287184982326,11.764958155144667,183,70.3962703962704,25.383287184982326,2.9768211920529803
hocap__subject_2__20231022_201942__seg01,left,g06_4,493,19.47261663286004,2.434077079107505,18.45859567871448,6.470061762776702,43,20.689655172413794,19.07758094062854,3.107843137254902
hocap__subject_2__20231022_201942__seg02,left,g06_2,244,42.62295081967213,0.0,33.19045240736117,17.0947177967988,104,42.62295081967213,33.19045240736117,1.5769230769230769
hocap__subject_2__20231022_202115__seg00,left,g06_4,211,3.3175355450236967,0.0,9.429021583704156,5.160661326215364,7,5.687203791469194,10.519015727966503,1.8333333333333333
hocap__subject_2__20231022_202115__seg00,right,g06_4,211,1.4218009478672986,0.0,1.2383541286358755,0.7986853452015991,3,1.4218009478672986,1.2383541286358755,1.0
hocap__subject_2__20231022_202115__seg01,left,g06_1,292,45.89041095890411,3.4246575342465753,12.625374958298679,5.765880686618459,67,45.89041095890411,12.625374958298679,2.216417910447761
hocap__subject_2__20231022_202115__seg01,right,g06_1,292,45.89041095890411,0.0,12.957924251373544,6.2272311976654695,134,45.89041095890411,12.957924251373544,1.537313432835821
hocap__subject_2__20231022_202115__seg02,left,g06_1,368,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
